district,turnout,magnitude
"First Constituency, Taipei County",68.75815076,8.00
"Second Constituency,  Taipei County",66.98061671,10.00
"Third Constituency,  Taipei County",68.93060052,9.00
Yilan County,63.84197231,4.00
Taoyuan County,68.53120867,13.00
Hsinchu County,70.61388294,3.00
Miaoli County,67.3292005,4.00
Taichung County,66.33479232,11.00
Changhua County,68.17314049,10.00
Nantou County,67.32337579,4.00
Yunlin County,63.40999494,6.00
Chiayi County,64.79586252,4.00
Tainan County,67.30341848,8.00
Kaohsiung County,66.47776809,9.00
Pingtung County,66.94462345,7.00
Taitung County,59.10634086,1.00
Hualien County,61.25118,2.00
Penghu County,60.53180086,1.00
Keelung City,63.19953407,3.00
Hsinchu,63.97802326,3.00
Taichung City,66.09732454,7.00
Chiayi City,65.1203311,2.00
Tainan City,63.65305986,6.00
Kinmen County,64.33044437,1.00
Lianjiang County,75.22950556,1.00
"First Constituency, Taipei",64.33337311,10.00
"Second Constituency, Taipei",64.49978249,10.00
"First Constituency, Kaohsiung",65.67520137,6.00
"Second Constituency, Kaohsiung",66.59790464,5.00